Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycling_parsed,Cooking_With_parsed
overweight,female,pescatarian,daily,coal,public,None,often,230,frequently,210,large,4,7,26,1,No,['Metal'],"['Stove', 'Oven']",2238,['Metal'],"['Stove', 'Oven']"
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,None,often,114,rarely,9,extra large,3,9,38,5,No,['Metal'],"['Stove', 'Microwave']",1892,['Metal'],"['Stove', 'Microwave']"
overweight,male,omnivore,more frequently,wood,private,petrol,never,138,never,2472,small,1,14,47,6,Sometimes,['Metal'],"['Oven', 'Microwave']",2595,['Metal'],"['Oven', 'Microwave']"
overweight,male,omnivore,twice a day,wood,walk/bicycle,None,sometimes,157,rarely,74,medium,3,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
obese,female,vegetarian,daily,coal,private,diesel,often,266,very frequently,8457,large,1,3,5,6,Yes,['Paper'],['Oven'],4743,['Paper'],['Oven']
overweight,male,vegetarian,less frequently,wood,public,None,sometimes,144,frequently,658,large,1,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
underweight,female,vegan,less frequently,wood,private,hybrid,never,56,rarely,5363,medium,4,9,11,19,Sometimes,[],"['Grill', 'Airfryer']",1832,[],"['Grill', 'Airfryer']"
underweight,female,vegan,more frequently,coal,walk/bicycle,None,sometimes,59,very frequently,54,extra large,3,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
overweight,male,omnivore,daily,wood,public,None,never,200,frequently,1376,medium,3,3,31,15,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",2494,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
underweight,female,pescatarian,daily,wood,public,None,often,135,rarely,440,extra large,1,8,23,18,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1178,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
normal,female,vegetarian,more frequently,wood,public,None,never,146,never,1561,extra large,4,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427,"['Paper', 'Plastic']","['Stove', 'Microwave']"
obese,male,vegetarian,more frequently,coal,walk/bicycle,None,never,111,very frequently,69,medium,5,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226,[],"['Stove', 'Oven', 'Microwave']"
underweight,female,omnivore,twice a day,coal,walk/bicycle,None,often,114,rarely,92,large,3,18,27,4,Yes,['Plastic'],['Stove'],1593,['Plastic'],['Stove']
underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,111,rarely,2893,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,pescatarian,less frequently,natural gas,public,None,often,123,rarely,1989,small,6,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
overweight,female,vegetarian,less frequently,electricity,public,None,never,225,very frequently,692,small,6,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
normal,male,pescatarian,more frequently,electricity,walk/bicycle,None,often,219,frequently,7,extra large,4,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,pescatarian,daily,wood,public,None,often,104,rarely,948,large,6,1,6,22,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1565,['Paper'],"['Stove', 'Grill', 'Airfryer']"
underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,7622,medium,2,6,37,9,Sometimes,[],['Stove'],5272,[],['Stove']
normal,female,omnivore,more frequently,wood,walk/bicycle,None,often,288,never,51,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,2237,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
obese,female,pescatarian,less frequently,wood,public,None,never,69,rarely,1804,large,1,6,3,7,No,['Metal'],"['Stove', 'Oven', 'Microwave']",1024,['Metal'],"['Stove', 'Oven', 'Microwave']"
overweight,male,omnivore,twice a day,wood,walk/bicycle,None,sometimes,110,never,85,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,472,small,4,17,24,20,Yes,"['Paper', 'Glass']",['Microwave'],2582,"['Paper', 'Glass']",['Microwave']
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284,"['Paper', 'Metal']","['Grill', 'Airfryer']"
